Dataset Name,Observation Date,Series Display Name,Observation Value,Unit
Export Receipts by Commodities and Groups,31-Dec-25,A. Food Group,433113.7572,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......1 Rice,186633.5256,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,............A) Basmati,45812.115,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,............B) Others,140821.4106,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......2 Fish & Fish Preparations,47859.0901,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......3 Fruits,25584.7817,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......4 Vegetablees/Leguminous Vegetable,13195.0495,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......5 Tobacco,3973.5014,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......6 Wheat,0,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......7 Spices,7060.4347,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,"......8 Oil Seeds, Nuts and Kernels",31539.7291,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......9 Sugar,0,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......10 Meat and Meat Preparations,50781.2547,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......11 All Other Food Items,66486.3904,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,B. Textile Group,1593394.041,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......12 Raw Cotton,537.351,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......13 Cotton Yarn,70029.8599,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......14 Cotton Cloth,154928.8102,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......15 Cotton Carded or Combed,0,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......16 Yarn Other than Cotton Yarn,1781.7064,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......17 Knitwear,432125.7723,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......18 Bed Wear,284546.5942,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......19 Towels,91250.9467,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,"......20 Tents,Canvas & Tarpaulin",10338.0795,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......21 Readymade Garments,366197.3033,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,"......22 Art,Silk & Synthetic Textile",29290.4585,Thousand USD
Export Receipts by Commodities and Groups,31-Dec-25,......23 Madeup Articles(incl.Other Tex,61258.3076,Thousand USD
