Observation Date,Series Display Name,Observation Value,Unit
31-Dec-25,. Afghanistan,8907.9982,Thousand USD
31-Dec-25,. Albania,1137.4614,Thousand USD
31-Dec-25,. Algeria,1152.33,Thousand USD
31-Dec-25,. American Samoa,0,Thousand USD
31-Dec-25,. Andorra,0,Thousand USD
31-Dec-25,. Angola,2746.9843,Thousand USD
31-Dec-25,. Antigua & Barbuda,25.101,Thousand USD
31-Dec-25,. Argentina,6028.0251,Thousand USD
31-Dec-25,. Armenia,45.8881,Thousand USD
31-Dec-25,. Aruba,61.694,Thousand USD
31-Dec-25,. Australia,27762.8586,Thousand USD
31-Dec-25,. Austria,2487.5243,Thousand USD
31-Dec-25,. Azerbaijan,19359.2431,Thousand USD
31-Dec-25,. Bahamas,228.114,Thousand USD
31-Dec-25,. Bahrain,4915.8963,Thousand USD
31-Dec-25,. Bangladesh,66264.149,Thousand USD
31-Dec-25,. Barbados,91.473,Thousand USD
31-Dec-25,. Belarus,58.6893,Thousand USD
31-Dec-25,. Belgium,46726.2418,Thousand USD
31-Dec-25,. Belize,31.47,Thousand USD
31-Dec-25,. Benin ( Dahomey ),955.006,Thousand USD
31-Dec-25,. Bermuda,29.2768,Thousand USD
31-Dec-25,. Bhutan,0,Thousand USD
31-Dec-25,. Bolivia,87.268,Thousand USD
31-Dec-25,. Bosnia Herzegovina,76.1805,Thousand USD
31-Dec-25,. Botswana,279.498,Thousand USD
31-Dec-25,. Brazil,15642.0614,Thousand USD
31-Dec-25,. Brunei,494.118,Thousand USD
31-Dec-25,. Bulgaria,19765.7837,Thousand USD
31-Dec-25,. Burkina Faso ( Upper Volta),64.879,Thousand USD
31-Dec-25,. Burundi,20.878,Thousand USD
31-Dec-25,. Cambodia Kampuchea,2518.479,Thousand USD
31-Dec-25,. Cameroon,1458.8158,Thousand USD
31-Dec-25,. Canada,35907.5255,Thousand USD
31-Dec-25,. Cape Verde,0,Thousand USD
31-Dec-25,. Cayman Islands,7.197,Thousand USD
31-Dec-25,. Central African Republic,307.839,Thousand USD
31-Dec-25,. Chad,216.324,Thousand USD
31-Dec-25,. Chile,7131.543,Thousand USD
31-Dec-25,. China,233091.7287,Thousand USD
31-Dec-25,. Colombia,4409.3182,Thousand USD
31-Dec-25,. Comoros,441.993,Thousand USD
31-Dec-25,. Congo,3464.233,Thousand USD
31-Dec-25,. Costa Rica,206.988,Thousand USD
31-Dec-25,. Croatia,3301.7003,Thousand USD
31-Dec-25,. Cuba,0,Thousand USD
31-Dec-25,. Cyprus,868.0995,Thousand USD
31-Dec-25,. Czech Republic,4195.8985,Thousand USD
31-Dec-25,. Denmark,23309.5147,Thousand USD
31-Dec-25,. Djibouti,5047.261,Thousand USD
31-Dec-25,. Dominica,0,Thousand USD
31-Dec-25,. Dominican Republic,328.334,Thousand USD
31-Dec-25,. Ecuador,586.948,Thousand USD
31-Dec-25,. Egypt,6793.6812,Thousand USD
31-Dec-25,. El Salvador,481.677,Thousand USD
31-Dec-25,. Equatorial Guinea,212.096,Thousand USD
31-Dec-25,. Eritrea,0,Thousand USD
31-Dec-25,. Estonia,687.026,Thousand USD
31-Dec-25,. Ethiopia,757.269,Thousand USD
31-Dec-25,. Faeroe Islands,0,Thousand USD
31-Dec-25,. Falkland Islands,0,Thousand USD
31-Dec-25,. Fiji,199.967,Thousand USD
31-Dec-25,. Finland,2817.3025,Thousand USD
31-Dec-25,. France,53918.8774,Thousand USD
31-Dec-25,. French Guinea,6.117,Thousand USD
