Observation Date,Series Display Name,Observation Value,Unit
31-Dec-25,. Afghanistan,733.0803,Thousand USD
31-Dec-25,. Albania,80.145,Thousand USD
31-Dec-25,. Algeria,0,Thousand USD
31-Dec-25,. American Samoa,0,Thousand USD
31-Dec-25,. Andorra,0,Thousand USD
31-Dec-25,. Angola,0,Thousand USD
31-Dec-25,. Antigua & Barbuda,0,Thousand USD
31-Dec-25,. Argentina,17526.6028,Thousand USD
31-Dec-25,. Armenia,259.325,Thousand USD
31-Dec-25,. Aruba,0,Thousand USD
31-Dec-25,. Australia,39102.5816,Thousand USD
31-Dec-25,. Austria,9519.8907,Thousand USD
31-Dec-25,. Azerbaijan,0,Thousand USD
31-Dec-25,. Bahamas,0,Thousand USD
31-Dec-25,. Bahrain,38769.8307,Thousand USD
31-Dec-25,. Bangladesh,5531.4886,Thousand USD
31-Dec-25,. Barbados,0,Thousand USD
31-Dec-25,. Belarus,3626.8183,Thousand USD
31-Dec-25,. Belgium,21538.095,Thousand USD
31-Dec-25,. Belize,0,Thousand USD
31-Dec-25,. Benin ( Dahomey ),926.513,Thousand USD
31-Dec-25,. Bermuda,0,Thousand USD
31-Dec-25,. Bhutan,0,Thousand USD
31-Dec-25,. Bolivia,82.745,Thousand USD
31-Dec-25,. Bosnia Herzegovina,16.3416,Thousand USD
31-Dec-25,. Botswana,40.5,Thousand USD
31-Dec-25,. Brazil,82606.7041,Thousand USD
31-Dec-25,. Brunei,116.746,Thousand USD
31-Dec-25,. Bulgaria,553.7609,Thousand USD
31-Dec-25,. Burkina Faso ( Upper Volta),36.825,Thousand USD
31-Dec-25,. Burundi,0,Thousand USD
31-Dec-25,. Cambodia Kampuchea,416.002,Thousand USD
31-Dec-25,. Cameroon,78.582,Thousand USD
31-Dec-25,. Canada,23988.3034,Thousand USD
31-Dec-25,. Cape Verde,0,Thousand USD
31-Dec-25,. Cayman Islands,555.9101,Thousand USD
31-Dec-25,. Central African Republic,40.475,Thousand USD
31-Dec-25,. Chad,16.837,Thousand USD
31-Dec-25,. Chile,1375.867,Thousand USD
31-Dec-25,. China,1758844.859,Thousand USD
